user,Nodes,Ways,Relations
PAMELAGUAMAN,270,35,0
DannoEpn,269,63,0
Calebtimo,268,17,0
karithO dayana,268,25,0
katherine Lasluisa,268,81,0
mbela,268,37,0
Natalia Arruda,268,17,0
EPN-Krlozz,267,18,0
jsoofi,267,23,0
Juli1987,267,60,0
YachaqRuna,267,19,0
AndraC,266,11,0
gotthegist,265,54,0
nrprzsnm,264,47,0
rebecca50,264,116,0
retep,264,71,0
SebastienBu,264,99,0
Lhonorio,262,28,0
Ugo M,262,42,0
Ale88val,261,23,0
JHERIBERTOMA,260,51,0
Karla Saldaña,259,74,0
pastorolda,259,39,0
Lenin Paladines,258,66,0
Carli_M,257,24,0
EpnKCárate,257,79,0
juliomir,257,66,0
JoelZamora,256,48,0
walterwhite,256,23,0
eortega27a,255,12,0
ANA MARIA PIEDRA,254,63,0
DennisHiggins71,254,58,0
GeoCrazy,254,96,0
Franny Murillo,253,12,0
majopizarro98,253,39,0
Andrescm94,252,19,0
ilgeografoanomalo,251,54,0
ljmartinezm,251,51,0
jinalfoflia,250,5,0
Lewis-atar,250,3,0
Maria Mercedes Cobo,250,56,0
danielias,249,21,0
@davidsaso,248,59,0
Susyta,248,59,0
ddffit,247,7,0
Karto1975,247,37,0
Katherine Chicaiza,247,68,0
Mariuxi Mabel,246,10,0
Rosenia_@utpl,246,3,0
caice,245,12,0
mateoneira,245,104,0
weezery,245,64,0
henryiuce,244,24,0
tlacoyo,244,35,0
Alzeir,243,47,0
funkbag,148,243,0
bondah,242,25,0
SandraLisette,115,242,0
Pau C,241,42,0
Edison Saico,240,36,0
geonano,240,23,0
Joanpolop,240,11,0
Andy Giler,238,47,0
VanessaGM,237,106,0
yamah,237,128,0
Isma_98,236,7,0
pedrosab,236,43,0
Codemin,235,21,0
Diego0101,235,73,0
